SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
E69F8A,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/DG-Ginger-Beer-Soda.jpg,19.0,type1,no,percent,0.0,no,,0.0,,,,
58D886,,1.0,,,,,,,,,,,
995BF7,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/01/20oz-DNG-Soda-1.jpg,27.0,type1,no,percent,0.0,no,,0.0,,,,
16A7D3,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/01/20oz-DNG-Soda-1.jpg,10.0,type1,no,percent,0.0,no,,0.0,,,,
BB8AF6,,10.0,,,,,,,,,,,
1DB12C,,7.0,,,,,,,,,,,
96638E,,15.0,,,,,,,,,,,
4119C2,,2.0,,,,,,,,,,,
C6347A,,5.0,,,,,,,,,,,
B9CAC6,,8.0,,,,,,,,,,,
730BE3,,5.0,,,,,,,,,,,
3A00DA,,5.0,,,,,,,,,,,
09BD32,,4.0,,,,,,,,,,,
0279F7,,9.0,,,,,,,,,,,
0681DC,,9.0,,,,,,,,,,,
B7C5FD,,1.0,,,,,,,,,,,
1903A8,,9.0,,,,,,,,,,,
D65020,,4.0,,,,,,,,,,,
CB69A1,,5.0,,,,,,,,,,,
9B80D8,,4.0,,,,,,,,,,,
E9CE6E,,5.0,,,,,,,,,,,
6F818A,,8.0,,,,,,,,,,,
4273F4,,8.0,,,,,,,,,,,
09D2FE,,11.0,,,,,,,,,,,
C63FB3,,12.0,,,,,,,,,,,
E8785E,,8.0,,,,,,,,,,,
2C620A,,2.0,,,,,,,,,,,
D78C0D,,8.0,,,,,,,,,,,
A95172,,11.0,,,,,,,,,,,
538893,,4.0,,,,,,,,,,,
ADE184,,5.0,,,,,,,,,,,
BD7FC8,,10.0,,,,,,,,,,,
95AF82,,8.0,,,,,,,,,,,
05B59D,,9.0,,,,,,,,,,,
