SKU,Images,"Meta: bacola_post_views_count","Meta: klb_product_badge_type","Meta: _alg_wc_wholesale_pricing_per_product_enabled","Meta: _alg_wc_wholesale_pricing_discount_type","Meta: _alg_wc_wholesale_pricing_levels_number","Meta: send_coupons_on_renewals","Meta: _klb_single_video_input","Meta: _monsterinsights_sitenote_active","Meta: om_disable_all_campaigns"
DF2F5D,,13,,,,,,,,
C5376D,,7,,,,,,,,
95D80B,,6,,,,,,,,
AA0B19,,11,,,,,,,,
18C0D7,,6,,,,,,,,
4F7A88,,5,,,,,,,,
B738CA,,6,,,,,,,,
BFA4E0,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/1.4L-Downy-Aroma-Flora-BIG.jpg,35,type1,no,percent,0,no,,0,
A2F29D,,17,,,,,,,,
41DA3D,,5,,,,,,,,
5BCBC7,,3,,,,,,,,
78F715,,2,,,,,,,,
E5A94B,,2,,,,,,,,
BA5A21,,5,,,,,,,,
A8A7E0,,2,,,,,,,,
E69625,,10,,,,,,,,
4DF46F,,1,,,,,,,,
522D52,,6,,,,,,,,
BD15E2,,10,,,,,,,,
8BFB11,,3,,,,,,,,
BC83BF,,5,,,,,,,,
C0B2CF,,5,,,,,,,,
E466F9,,5,,,,,,,,
78722C,,3,,,,,,,,
C25C9F,,3,,,,,,,,
17603B,,12,,,,,,,,
D41822,,2,,,,,,,,
07D992,,2,,,,,,,,
CE6DED,,1,,,,,,,,
F8AD6C,,3,,,,,,,,
0DCADE,,9,,,,,,,,
A101B8,,9,,,,,,,,
1D8C75,,7,,,,,,,,
16DC66,,15,,,,,,,,
66FF93,,4,,,,,,,,
7CD0AC,,9,,,,,,,,
AF02C8,,6,,,,,,,,
CC2F3B,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/carib-choice-jack-mackerel.jpg,72,type1,no,percent,0,no,,0,
30AE9E,,9,,,,,,,,
775751,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/CaribbeanChoice_CornedBeef_12oz__18441_zoom.jpg,54,type1,no,percent,0,no,,0,
648408,,1,,,,,,,,
46B2A0,,1,,,,,,,,
EADB95,,6,,,,,,,,
3BDFCA,,2,,,,,,,,
ABACB7,,5,,,,,,,,
4E5CCA,,12,,,,,,,,
91195B,,18,,,,,,,,
F64936,,8,,,,,,,,
5412E8,,9,,,,,,,,
A8E028,,11,,,,,,,,
0D52E2,,10,,,,,,,,
5856CF,,3,,,,,,,,
6391CE,,18,,,,,,,,
60859D,,9,,,,,,,,
0BC740,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/lasco-enriched-milk.jpg,6,type1,no,percent,0,no,,0,
B3873F,,10,,,,,,,,
D5D52F,,4,,,,,,,,
A1F450,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/876_BM_Spring_Water_500ml.jpg,29,type1,no,percent,0,no,,0,
0FDAE0,,6,,,,,,,,
15C290,,6,,,,,,,,
175FF5,,11,,,,,,,,
1026C2,,4,,,,,,,,
7EC4C8,,4,,,,,,,,
9DF1EC,,19,,,,,,,,
66E090,,17,,,,,,,,
08630E,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/04/CovebayContainerlid-combo.jpg,4,type1,no,percent,0,no,,0,
2993AE,,3,,,,,,,,
864C43,,3,,,,,,,,
D9AB2C,,0,,,,,,,,
8265CE,,2,,,,,,,,
553C04,,,,,,,,,,
61A9D3,,,,,,,,,,
B32D37,,13,,,,,,,,
04AB9B,,5,,,,,,,,
311FF6,,1,,,,,,,,
430304,,2,,,,,,,,
81562A,,0,,,,,,,,
9D11E1,,10,,,,,,,,
7206D9,,5,,,,,,,,
EEED95,,7,,,,,,,,
A6CAED,,5,,,,,,,,
07CDA7,,13,,,,,,,,
4C560E,,7,,,,,,,,
