SKU,Original Name,Similarity Score,Image Source URL,Saved Filename,Status
AEE1B9,1kg Goldseal Bread Flour,88.88888888888889,https://mastermacfood.com/wp-content/uploads/2023/05/GOLD-SEAL-BREAD-FLOUR-1KG.jpg,1kg_Goldseal_Bread_Flour.jpg,Success
54F727,1kg Goldseal Counter Flour *20,0,,,Failed
CF54DA,1kg Goldseal Whole Wheat Flour*20,88.13559322033898,https://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/1kg-Goldseal-Whole-Wheat-Flour.jpg,1kg_Goldseal_Whole_Wheat_Flour20.jpg,Success
5F4D95,1KG Grace Jasmine Rice *12,80.85106382978724,https://bakfoods.com/wp-content/uploads/2023/10/Grace_Jasmine_Rice_1kg_tagged__35346_zoom.jpg,1KG_Grace_Jasmine_Rice_12.jpg,Success
9F0D1B,1KG JFM Festival MIX*10,0,,,Failed
46027A,1kg JFM Pack Brown Rice,90.47619047619048,https://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/2kg-JFM-Pack-Brown-Rice.jpg,1kg_JFM_Pack_Brown_Rice.jpg,Success
E7C05C,1KG JFM Pancake MIX*10,0,,,Failed
7EB80F,1kg Karibe Rice,81.4814814814815,https://jssupermarketgy.com/wp-content/uploads/2021/04/Karibee-Rice-Parboiled-Rice.png,1kg_Karibe_Rice.jpg,Success
67277B,1KG Kaset Thai Brown Jasmine Rice,82.14285714285714,https://mastermacfood.com/wp-content/uploads/2021/11/KASET-THAI-JASMINE-RICE-2KG.jpg,1KG_Kaset_Thai_Brown_Jasmine_Rice.jpg,Success
6DD1BC,1KG Kaset Thai Jasmine Rice*20,80.0,https://142976170.cdn6.editmysite.com/uploads/1/4/2/9/142976170/s654396927752767680_p5722_i1_w2880.jpeg?width=2560,1KG_Kaset_Thai_Jasmine_Rice20.jpg,Success
41CC3D,1Kg Kendel Jasmine Rice White,81.63265306122449,https://mastermacfood.com/wp-content/uploads/2021/11/KENDEL-JASMINE-WHITE-RICE-8KG.jpg,1Kg_Kendel_Jasmine_Rice_White.jpg,Success
469B97,1kg Nation Choice Berry Blend Frozen Fruit,0,,,Failed
0CA3B8,1kg Nation Choice Blueberry Frozen Fruit,0,,,Failed
63507E,1kg Nation Choice Fruit Fusion Frozen Fruit,0,,,Failed
31D54D,1kg Nation Choice Mango Chunks Frozen Fruit,0,,,Failed
BEFBBF,1kg Nation Choice Pineapple Frozen Fruit,0,,,Failed
DB624B,1kg Nation Choice Whole Strawberry Frozen Fruit,0,,,Failed
561EEF,1kg OXY America Fresh *10,0,,,Failed
02B126,1L Tropical Rhythm Assor *12,85.71428571428572,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/16oz-Tropical-Rhythm-Assor-12.jpg,1L_Tropical_Rhythm_Assor_12.jpg,Success
A3F05B,1L XTRA Liquid Detergent 56oz,86.27450980392157,https://cdn.shopify.com/s/files/1/0280/6523/5049/products/MS-Xtra_6-75oz_Sunshine_XTRSU75_IMG_7104_1024x1024.jpg?v=1576605732,1L_XTRA_Liquid_Detergent_56oz.jpg,Success
912151,1Litre  Supligen  12*1L,0,,,Failed
50704B,1Litre America Fresh Org. Det *12,0,,,Failed
A6E764,1Litre America Fresh Voilet *12,0,,,Failed
3B41FD,1Litre Anchor Cooking Cream,100.0,https://www.anchordairy.com/pacific/en/products/cream-custard/anchor-cooking-cream/_jcr_content/root/container/image.coreimg.png/1669930485468/anchor-cooking-cream-header.png,1Litre_Anchor_Cooking_Cream.jpg,Success
EF98E9,1Litre Appleton Signature*12,0,,,Failed
AE4B17,1Litre Baileys Rum Cream,82.92682926829268,https://mastermacfood.com/wp-content/uploads/2021/10/BAILEYS-RUM-CREAM-750ML.jpg,1Litre_Baileys_Rum_Cream.jpg,Success
FE07B0,1Litre Calico Jack Rum Punch *12,81.4814814814815,https://mastermacfood.com/wp-content/uploads/2023/05/CALICO-JACK-RUM-PUNCH-750ML.jpg,1Litre_Calico_Jack_Rum_Punch_12.jpg,Success
FCD10F,1litre Chloro-Do Bleach 12*,82.6086956521739,https://store.archip.com/wp-content/uploads/2021/11/WhatsApp-Image-2023-04-11-at-9.30.47-AM-1-780x1024.jpeg,1litre_Chloro-Do_Bleach_12.jpg,Success
217F24,1litre Listerine Assort...,0,,,Failed
B76017,1Litre Low Fat Miracle Milk,0,,,Failed
6228A8,1Litre Miracle Coconut Oil,84.44444444444444,https://mastermacfood.com/wp-content/uploads/2021/10/MIRACLE-COCONUT-OIL-500ml.jpg,1Litre_Miracle_Coconut_Oil.jpg,Success
7DE61B,1Litre Soft Cloud America Fresh *12,0,,,Failed
5C0B6E,1LT Wray Rum Cream *12,0,,,Failed
069C1D,1oz Badia Garlic Powderer Sachet,83.33333333333334,https://contenthandler-raleys.fieldera.com/prod/90561/1/0/0/480123651-Main.jpg,1oz_Badia_Garlic_Powderer_Sachet.jpg,Success
3B48F9,1oz Ecoliv Portion Cups 40*50,81.25,https://www.honokage.com/wp-content/uploads/2024/10/1oz-Portion-Cups-4.jpg,1oz_Ecoliv_Portion_Cups_4050.jpg,Success
5F8C14,1oz Island Spice Crushed Pepp,0,,,Failed
0AF30C,1oz Island Spice Egg Powder,92.0,https://cdn11.bigcommerce.com/s-u1on72kxi6/images/stencil/1280x1280/products/529/1082/20200512_130614__77029.1589307284.jpg?c=1,1oz_Island_Spice_Egg_Powder.jpg,Success
9C6467,1oz Island Spice Red Cayenne,92.3076923076923,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2024/03/IS_Cayenne_Pepper_1oz_tagged__23739_zoom.jpg,1oz_Island_Spice_Red_Cayenne.jpg,Success
D6571D,1oz Island Spice Thyme Leaves,89.28571428571429,http://jacarepackages.com/cdn/shop/products/TGP-JamaicaCarePackages-267_d0656ff4-22ca-46fa-b649-854a17a6c0f1.jpg?v=1739810851,1oz_Island_Spice_Thyme_Leaves.jpg,Success
616342,1oz Portion Cup Pk 20*50,0,,,Failed
BA99C4,2 litre Chloro-Do Bleach*6,0,,,Failed
F96736,2 litre Coca Cola *8,0,,,Failed
91627F,2 litre Coca Cola ZERO,0,,,Failed
FFA820,2 Litre Lider Oil 8*,0,,,Failed
D26F2D,2% SaliRes Acne Soldanzaution 200ml,89.23076923076923,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/sali.jpg,2_SaliRes_Acne_Soldanzaution_200ml.jpg,Success
A23375,2.1KG Harvest Mills Frosted Flakes*15,86.15384615384616,https://fedlinsupermarket.com/cdn/shop/products/ScreenShot2021-09-13at2.56.44PM_1400x.png?v=1631563202,21KG_Harvest_Mills_Frosted_Flakes15.jpg,Success
198AC2,2.2oz Aquafresh Kids Toothpaste 2-5yrs,80.0,https://media.superdrug.com/medias/sys_master/prd-images/h57/h2b/11590747029534/prd-ls2-675204_600x600/prd-ls2-675204-600x600.jpg,22oz_Aquafresh_Kids_Toothpaste_2-5yrs.jpg,Success
87533F,2.3oz Gillette Clear Deod. *12,0,,,Failed
A202F3,2.3oz lady speed stick gel,80.95238095238095,https://imgv2-2-f.scribdassets.com/img/document/633858954/original/98ffaa67ab/1717159465?v=1,23oz_lady_speed_stick_gel.jpg,Success
9257B8,2.5oz Island Garlic Powder.,81.4814814814815,"https://sp-ao.shortpixel.ai/client/to_webp,q_lossless,ret_img,w_600,h_600/https://www.gourmetgoodies.com.au/wp-content/uploads/2023/04/KIF002.png",25oz_Island_Garlic_Powder.jpg,Success
23521E,2.5oz Island Onion Powder.,0,,,Failed
